nodenm,nodeid,0
5단지시장입구,CAB285000953,1
각원사,CAB285010147,2
계룡리슈빌,CAB285002132,1
남산축협,CAB285000675,1
늘푸른극동아파트,CAB285000926,1
단국대 삼거리,CAB285001055,1
단국대학교,CAB285001478,1
단대병원,CAB285001715,1
동남구청,CAB285000668,1
동아태조아파트,CAB285002084,1
동우아파트,CAB285000322,1
두레현대1단지아파트,CAB285000839,1
두정도서관,CAB285001025,1
두정우남아파트,CAB285001032,1
두정중학교,CAB285000934,1
두정한성아파트,CAB285000931,1
방아다리공원,CAB285010020,1
방아다리공원,CAB285010021,2
백석대학교(운동장),CAB285001747,1
백석푸르지오아파트,CAB285010132,1
복자여자중고등학교,CAB285000651,1
부영아파트,CAB285000784,1
부영아파트,CAB285001716,1
삼룡교,CAB285000749,2
삼룡교,CAB285001589,1
성정초등학교,CAB285000906,1
신부청광아파트,CAB285000648,1
신부청광아파트,CAB285002085,1
역말오거리,CAB285000981,1
종합터미널,CAB285000686,2
주공5단지아파트,CAB285000952,1
주공8단지아파트,CAB285001031,1
주공그린빌3차아파트,CAB285001498,1
중앙도서관,CAB285000878,1
차암2통,CAB285010148,1
천안동중학교,CAB285000738,1
천안시청 서북구보건소,CAB285001015,1
천안아산역,CAB285071625,1
천안역 서부광장,CAB285001519,1
충무병원정문,CAB285001518,1
