,routeno,routeid
0,11,CAB285000006
1,11,CAB285000007
2,12,CAB285000008
3,12,CAB285000009
4,13,CAB285000010
5,13,CAB285000011
6,14,CAB285000012
7,14,CAB285000013
8,24,CAB285000024
9,24,CAB285000025
10,81,CAB285000293
11,81,CAB285000294
